v1_column,v2_column,change_type
"/DataEnvelope/BasicMetadata/CreatorsContributors/contributors/organisation","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Contributors/organisationName","renamed"
"/DataEnvelope/BasicMetadata/CreatorsContributors/contributors/descriptionContribution","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Contributors/descriptionContribution","moved"
"/DataEnvelope/BasicMetadata/CreatorsContributors/funding/name","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Funders/funderName","renamed"
"/DataEnvelope/BasicMetadata/CreatorsContributors/funding/ROR","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Funders/rorId","renamed"
"/DataEnvelope/BasicMetadata/CreatorsContributors/funding/summary","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Funders/description","renamed"
"/DataEnvelope/BasicMetadata/CreatorsContributors/funding/link","/DataEnvelope/DatasetMetadata/ResponsibleAgents/Funders/link","moved"
"/DataEnvelope/BasicMetadata/distribution/datasetlink","/DataEnvelope/DatasetMetadata/Distribution/datasetLink","renamed"
"/DataEnvelope/BasicMetadata/distribution/repository","/DataEnvelope/DatasetMetadata/Distribution/repository","moved"
"/DataEnvelope/BasicMetadata/distribution/download/link","/DataEnvelope/DatasetMetadata/Distribution/Download/link","moved"
"/DataEnvelope/BasicMetadata/distribution/download/filetype","/DataEnvelope/DatasetMetadata/Distribution/Download/filetype","moved"
"/DataEnvelope/BasicMetadata/distribution/download/filesize","/DataEnvelope/DatasetMetadata/Distribution/Download/filesize","moved"
"/DataEnvelope/BasicMetadata/distribution/citation/citationInformation","/DataEnvelope/DatasetMetadata/Distribution/Citation/citationInformation","moved"
"/DataEnvelope/BasicMetadata/distribution/citation/citationInformation/@xml:lang","/DataEnvelope/DatasetMetadata/Distribution/Citation/citationInformation/@xml:lang","moved"
"/DataEnvelope/BasicMetadata/accessLicenses/licensingInformation/identifier","/DataEnvelope/DatasetMetadata/RightsStatement/License/licenseLabel","renamed"
"/DataEnvelope/BasicMetadata/accessLicenses/licensingInformation/url","/DataEnvelope/DatasetMetadata/RightsStatement/License/uri","renamed"
"/DataEnvelope/BasicMetadata/accessLicenses/access/accessLevel","/DataEnvelope/DatasetMetadata/RightsStatement/AccessDetails/accessLevel","moved"
"/DataEnvelope/BasicMetadata/accessLicenses/access/accessRestricted/description","/DataEnvelope/DatasetMetadata/RightsStatement/AccessDetails/description","moved"
